"ADDRESS","LATITUDE","LONGTITUDE","address"
"28 TOH GUAN ROAD EAST WESTLITE TOH GUAN DORMITORY SINGAPORE 608596","1.33649931598315","103.751872040825","608596"
"19 TOH GUAN ROAD EAST TOH GUAN DORMITORY SINGAPORE 608568","1.33833282914969","103.753535227945","608568"
"280 BUKIT BATOK EAST AVENUE 3 OCBC BUKIT BATOK EAST AVE 3 - FAIRPRICE SINGAPORE 650280","1.34762239826035","103.757150072517","650280"
"48 TOH GUAN ROAD EAST UOB ENTERPRISE HUB SINGAPORE 608586","1.33683097553159","103.754341430783","608586"
"14 CHUN TIN ROAD SINGAPORE 599601","1.34201963211059","103.775064204593","599601"
"159 BUKIT BATOK STREET 11 SINGAPORE 650159","1.34857537953675","103.742708636413","650159"
"1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713","1.35001920979845","103.749244800677","658713"
"10 BUKIT BATOK CENTRAL OCBC BUKIT BATOK MRT SINGAPORE 659958","1.34903534800639","103.749526027989","659958"
"140 TECK WHYE LANE OCBC TECK WHYE LANE - FAIRPRICE SINGAPORE 680140","1.38003058296689","103.753118410312","680140"
"376 BUKIT BATOK STREET 31 SINGAPORE 650376","1.35831705249927","103.749579868748","650376"
"142 TECK WHYE LANE SINGAPORE 680142","1.38079049641025","103.75195441174","680142"
"373 BUKIT BATOK STREET 31 SINGAPORE 650373","1.35892457118178","103.750397174291","650373"
"18 TECK WHYE LANE TECK WHYE HEIGHTS III SINGAPORE 680018","1.37829768797221","103.754071398872","680018"
"2 BUKIT BATOK WEST AVENUE 7 OCBC BUKIT BATOK WEST AVE 7 - FAIRPRICE SINGAPORE 659003","1.36577391240463","103.748520902563","659003"
"4 HILLVIEW RISE HILLV2 SINGAPORE 667979","1.36267450828024","103.76417292006","667979"
"166 BUKIT BATOK WEST AVENUE 8 OCBC BUKIT BATOK WEST AVE 8 - FAIRPRICE SINGAPORE 650166","1.34716236191294","103.742807879476","650166"
"154A BUKIT BATOK WEST AVENUE 8 SINGAPORE 651154","1.34737180152613","103.743698106143","651154"
"395A BUKIT BATOK WEST AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 395A (CC) SINGAPORE 651395","1.36393821475024","103.751896006121","651395"
"21 CHOA CHU KANG AVENUE 4 OCBC LOT 1 SHOPPERS MALL SINGAPORE 689812","1.38511154955356","103.745036167764","689812"
