"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701",1.39030227963797,103.874445458032,"FERNVALE PRIMARY SCHOOL","school"
"7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252",1.34032299499938,103.855529906182,"FIRST TOA PAYOH PRIMARY SCHOOL","school"
"20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200",1.33641298743234,103.69970173931,"FRONTIER PRIMARY SCHOOL","school"
"23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063",1.43047990810126,103.778192944298,"FUCHUN PRIMARY SCHOOL","school"
"21 WOODLANDS AVENUE 1 FUCHUN SECONDARY SCHOOL SINGAPORE 739062",1.43070452883799,103.777625748539,"FUCHUN SECONDARY SCHOOL","school"
"65 JURONG EAST STREET 13 FUHUA PRIMARY SCHOOL SINGAPORE 609647",1.33650394789627,103.736103745748,"FUHUA PRIMARY SCHOOL","school"
"5 JURONG WEST STREET 41 FUHUA SECONDARY SCHOOL SINGAPORE 649410",1.34701408913756,103.72652089832,"FUHUA SECONDARY SCHOOL","school"
"100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901",1.28559516494962,103.815547410064,"GAN ENG SENG PRIMARY SCHOOL","school"
"1 HENDERSON ROAD GAN ENG SENG SCHOOL SINGAPORE 159561",1.28907114458398,103.823733672546,"GAN ENG SENG SCHOOL","school"
"4 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (PRIMARY) SINGAPORE 389706",1.31759126757284,103.883845744916,"GEYLANG METHODIST SCHOOL (PRIMARY)","school"
"2 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (SECONDARY) SINGAPORE 389705",1.31764900474601,103.882661129303,"GEYLANG METHODIST SCHOOL (SECONDARY)","school"
"1 TAMPINES STREET 42 GONGSHANG PRIMARY SCHOOL SINGAPORE 529176",1.35723721393297,103.949115320172,"GONGSHANG PRIMARY SCHOOL","school"
"50 EDGEDALE PLAINS GREENDALE PRIMARY SCHOOL SINGAPORE 828848",1.39648195114256,103.91233462071,"GREENDALE PRIMARY SCHOOL","school"
"51 EDGEDALE PLAINS GREENDALE SECONDARY SCHOOL SINGAPORE 828866",1.39696019936894,103.91170014084,"GREENDALE SECONDARY SCHOOL","school"
